DISTRICT,COUNTY,AVG CONCEN,Field,FIELD,Formation,FORMATION,FORM_ID,FORM_AGE,ABRV,LONG_NAME,Longitude,Latitude
8,ANDREWS,15636,MARTIN,MARTIN,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.7686662199435,32.16349503487827
8,ANDREWS,15636,MARTIN,MARTIN,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.7686662199435,32.16349503487827
8,ANDREWS,15636,MARTIN,MARTIN,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.7686662199435,32.16349503487827
8,ANDREWS,15636,MARTIN,MARTIN,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.7686662199435,32.16349503487827
8,ANDREWS,15636,MARTIN,MARTIN,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.7686662199435,32.16349503487827
8,PECOS,11228,T.C.I.,T C I,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.6851141830938,31.2727271225625
8,PECOS,11228,T.C.I.,T C I,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.6851141830938,31.2727271225625
8,PECOS,11228,T.C.I.,T C I,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.6851141830938,31.2727271225625
8,CRANE,23639,T.E.BAR,T E BAR,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.6856298359,31.3508431642
8,CRANE,23639,T.E.BAR,T E BAR,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.6856298359,31.3508431642
8,CRANE,23639,T.E.BAR,T E BAR,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.6856298359,31.3508431642
8,CRANE,23639,T.E.BAR,T E BAR,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.6856298359,31.3508431642
8,CRANE,23639,T.E.BAR,T E BAR,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.6856298359,31.3508431642
8,ANDREWS,15636,MARTIN,MARTIN,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.7686662199435,32.16349503487827
8,ANDREWS,15636,MARTIN,MARTIN,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.7686662199435,32.16349503487827
8,ANDREWS,15636,MARTIN,MARTIN,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.7686662199435,32.16349503487827
8,ANDREWS,15636,MARTIN,MARTIN,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.7686662199435,32.16349503487827
8,ANDREWS,15636,MARTIN,MARTIN,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.7686662199435,32.16349503487827
8,ANDREWS,15636,MARTIN,MARTIN,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.7686662199435,32.16349503487827
8,ANDREWS,15636,MARTIN,MARTIN,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.7686662199435,32.16349503487827
8,ANDREWS,15636,MARTIN,MARTIN,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.7686662199435,32.16349503487827
8,ANDREWS,15636,MARTIN,MARTIN,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.7686662199435,32.16349503487827
8,ANDREWS,15636,MARTIN,MARTIN,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.7686662199435,32.16349503487827
8,ANDREWS,15636,MARTIN,MARTIN,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.7686662199435,32.16349503487827
8,CRANE,25169,LEA,LEA,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.5335866508312,31.411875327275986
8,ANDREWS,15636,MARTIN,MARTIN,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.7686662199435,32.16349503487827
8,CRANE,25169,LEA,LEA,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.5335866508312,31.411875327275986
8,CRANE,25169,LEA,LEA,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.5335866508312,31.411875327275986
8,CRANE,25169,LEA,LEA,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.5335866508312,31.411875327275986
8,CRANE,25169,LEA,LEA,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.5335866508312,31.411875327275986
